,Train_time,L1_training,L1_valid,MSE_T850,MSE_Z500,MSE_U850,MSE_V850,MSE_Q850,MSE_T2M,MSE_U10,MSE_V10,ACC_T850,ACC_Z500,ACC_T2M,ACC_U10,ACC_V10,Valid_time,Learning_Rate
71,713.180646,0.30381,0.19122,1.446,168.775,2.767,2.758,1.369,1.433,1.829,1.879,0.959,0.988,0.963,0.901,0.902,82.3282,0.0005
72,712.057315,0.30964,0.19091,1.459,169.723,2.764,2.723,1.368,1.435,1.825,1.853,0.959,0.988,0.963,0.899,0.899,83.45787,0.0005
73,714.477581,0.31564,0.18407,1.424,157.149,2.735,2.638,1.353,1.408,1.762,1.8,0.96,0.989,0.965,0.906,0.905,82.30069,0.0005
74,715.203125,0.31583,0.18536,1.431,158.971,2.717,2.642,1.346,1.414,1.793,1.802,0.96,0.989,0.964,0.903,0.906,83.96957,0.0005
75,714.058947,0.31863,0.1831,1.423,158.896,2.658,2.626,1.343,1.408,1.747,1.796,0.96,0.989,0.964,0.909,0.906,82.90607,0.0005
76,713.348364,0.32208,0.18486,1.422,168.175,2.7,2.605,1.348,1.418,1.773,1.774,0.96,0.988,0.964,0.906,0.91,82.81436,0.0005
77,722.933027,0.32378,0.18275,1.444,161.889,2.647,2.582,1.333,1.443,1.739,1.765,0.96,0.988,0.963,0.911,0.911,84.40317,0.0005
78,717.027242,0.32784,0.18681,1.457,164.622,2.699,2.674,1.341,1.434,1.761,1.819,0.958,0.988,0.963,0.907,0.904,82.64244,0.0005
79,714.651143,0.33121,0.18021,1.407,158.129,2.606,2.58,1.328,1.397,1.704,1.749,0.961,0.989,0.965,0.912,0.91,82.49651,0.0005
80,724.238659,0.32797,0.1839,1.398,163.307,2.657,2.569,1.318,1.401,1.749,1.782,0.962,0.989,0.965,0.91,0.91,85.23486,0.0005
81,725.559695,0.33109,0.18056,1.413,163.862,2.592,2.583,1.319,1.382,1.689,1.758,0.961,0.988,0.966,0.914,0.91,85.31316,0.0005
82,726.979417,0.32675,0.17845,1.382,159.649,2.581,2.564,1.305,1.388,1.7,1.77,0.963,0.989,0.965,0.914,0.911,85.56544,0.0005
83,721.245288,0.33364,0.18112,1.409,159.656,2.56,2.55,1.312,1.406,1.677,1.725,0.961,0.989,0.965,0.915,0.913,85.61538,0.0005
84,722.515183,0.33101,0.17558,1.392,153.253,2.509,2.469,1.306,1.407,1.627,1.673,0.962,0.99,0.964,0.921,0.919,86.02511,0.0005
85,726.873044,0.32894,0.17953,1.392,162.153,2.592,2.59,1.308,1.386,1.693,1.731,0.962,0.988,0.966,0.914,0.912,82.50453,0.0005
86,729.306788,0.32991,0.17519,1.378,154.923,2.485,2.48,1.302,1.401,1.618,1.675,0.963,0.989,0.965,0.921,0.919,84.08231,0.0005
87,728.272665,0.33184,0.17401,1.38,147.625,2.473,2.443,1.295,1.4,1.618,1.66,0.963,0.99,0.965,0.922,0.92,84.54443,0.0005
88,728.560144,0.33128,0.17291,1.374,144.099,2.483,2.438,1.304,1.398,1.615,1.637,0.963,0.991,0.965,0.922,0.922,88.95822,0.0005
89,722.826501,0.32424,0.17501,1.381,155.846,2.477,2.487,1.291,1.386,1.62,1.666,0.963,0.989,0.966,0.921,0.919,85.08019,0.0005
90,719.746259,0.32262,0.17227,1.376,148.102,2.443,2.451,1.293,1.388,1.592,1.676,0.963,0.99,0.966,0.924,0.919,83.02732,0.0005
91,722.01191,0.32141,0.1692,1.369,150.981,2.407,2.369,1.282,1.379,1.581,1.586,0.963,0.99,0.966,0.925,0.927,84.2349,0.0005
92,726.255814,0.32584,0.17478,1.399,163.177,2.423,2.395,1.289,1.4,1.577,1.617,0.962,0.988,0.965,0.925,0.925,84.59469,0.0005
93,732.846291,0.31796,0.16947,1.367,147.374,2.396,2.397,1.28,1.389,1.561,1.625,0.964,0.99,0.966,0.928,0.923,83.47383,0.0005
94,724.893148,0.31465,0.16992,1.366,153.793,2.38,2.387,1.277,1.386,1.543,1.605,0.963,0.99,0.966,0.929,0.926,84.6298,0.0005
95,732.179646,0.31496,0.17629,1.392,165.18,2.45,2.524,1.287,1.409,1.6,1.736,0.962,0.988,0.964,0.923,0.912,82.51934,0.0005
96,736.78188,0.31207,0.16985,1.372,151.631,2.429,2.349,1.276,1.402,1.568,1.585,0.963,0.99,0.965,0.926,0.927,84.96434,0.0005
97,732.754847,0.30907,0.16413,1.363,133.407,2.345,2.321,1.276,1.398,1.522,1.566,0.964,0.992,0.965,0.931,0.929,85.69573,0.0005
