,Train_time,L1_training,L1_valid,MSE_T850,MSE_Z500,MSE_U850,MSE_V850,MSE_Q850,MSE_T2M,MSE_U10,MSE_V10,ACC_T850,ACC_Z500,ACC_T2M,ACC_U10,ACC_V10,Valid_time,Learning_Rate
341,713.578936,0.11164,0.13271,1.06,98.642,1.963,1.941,1.136,1.116,1.261,1.29,0.978,0.996,0.978,0.953,0.952,80.81201,0.00025
342,714.426382,0.11036,0.13066,1.046,89.474,1.961,1.938,1.136,1.097,1.259,1.286,0.979,0.997,0.979,0.953,0.953,83.66739,0.00025
343,718.32518,0.11117,0.13064,1.063,91.129,1.962,1.94,1.131,1.121,1.26,1.29,0.978,0.996,0.978,0.953,0.952,81.39368,0.00025
344,718.828658,0.11268,0.13123,1.051,91.556,1.967,1.942,1.129,1.125,1.261,1.29,0.979,0.996,0.977,0.953,0.952,82.2942,0.00025
345,720.178512,0.11259,0.12976,1.035,88.163,1.965,1.942,1.128,1.093,1.261,1.291,0.979,0.997,0.979,0.953,0.952,83.26743,0.00025
346,718.196396,0.11419,0.12991,1.043,88.28,1.967,1.944,1.125,1.124,1.263,1.29,0.979,0.997,0.978,0.953,0.952,82.10738,0.00025
347,721.38145,0.11706,0.13187,1.05,94.86,1.973,1.951,1.129,1.092,1.266,1.295,0.979,0.996,0.979,0.953,0.952,82.54679,0.00025
348,724.673909,0.11905,0.1306,1.047,92.489,1.974,1.951,1.133,1.101,1.266,1.294,0.979,0.996,0.978,0.953,0.952,80.94419,0.00025
349,716.772783,0.12133,0.12941,1.041,87.909,1.972,1.948,1.124,1.08,1.264,1.293,0.979,0.997,0.979,0.953,0.952,84.86978,0.00025
350,724.101299,0.12365,0.13037,1.042,89.365,1.974,1.95,1.121,1.115,1.265,1.293,0.979,0.996,0.978,0.953,0.952,82.64875,0.00025
351,720.282727,0.12881,0.1303,1.042,89.313,1.976,1.952,1.122,1.102,1.265,1.293,0.979,0.996,0.978,0.953,0.952,82.35954,0.00025
352,721.601428,0.1319,0.13067,1.045,91.235,1.976,1.952,1.121,1.096,1.268,1.296,0.979,0.996,0.979,0.952,0.952,82.69435,0.00025
353,718.242092,0.13585,0.12979,1.035,89.878,1.975,1.954,1.119,1.075,1.266,1.298,0.979,0.996,0.979,0.953,0.952,83.41183,0.00025
354,717.694684,0.13988,0.12979,1.047,89.923,1.976,1.953,1.12,1.087,1.268,1.296,0.979,0.997,0.979,0.952,0.952,82.19221,0.00025
355,715.143521,0.14355,0.12985,1.041,87.848,1.973,1.954,1.121,1.094,1.266,1.296,0.979,0.997,0.979,0.953,0.952,81.94478,0.00025
356,721.674479,0.14871,0.12994,1.044,90.183,1.973,1.956,1.118,1.088,1.266,1.298,0.979,0.996,0.979,0.953,0.952,82.12893,0.00025
357,722.967893,0.15278,0.12894,1.036,86.571,1.971,1.947,1.116,1.093,1.264,1.294,0.979,0.997,0.979,0.953,0.952,83.38491,0.00025
358,715.837116,0.15826,0.12928,1.035,88.676,1.967,1.945,1.118,1.081,1.259,1.29,0.979,0.997,0.979,0.953,0.952,84.96162,0.00025
359,716.869068,0.16484,0.12959,1.044,88.002,1.97,1.947,1.114,1.093,1.264,1.296,0.979,0.997,0.979,0.953,0.952,81.69294,0.00025
360,722.981884,0.16849,0.12998,1.039,91.529,1.978,1.973,1.114,1.074,1.272,1.314,0.979,0.996,0.98,0.952,0.95,81.61709,0.00025
361,720.782942,0.1748,0.13065,1.044,90.46,1.986,1.963,1.118,1.082,1.282,1.307,0.979,0.996,0.979,0.951,0.951,82.72567,0.00025
362,728.279983,0.18023,0.12994,1.04,89.782,1.978,1.963,1.116,1.074,1.27,1.307,0.979,0.996,0.98,0.952,0.951,83.2858,0.00025
363,756.498743,0.18333,0.12912,1.044,89.333,1.974,1.946,1.117,1.072,1.262,1.294,0.979,0.997,0.979,0.953,0.952,84.40934,0.00025
364,721.331058,0.18841,0.1294,1.04,88.808,1.978,1.945,1.116,1.072,1.275,1.289,0.979,0.997,0.98,0.952,0.952,85.62676,0.00025
365,721.215473,0.19624,0.13122,1.058,91.878,1.989,1.973,1.122,1.107,1.277,1.315,0.978,0.996,0.978,0.952,0.95,83.04592,0.00025
366,722.665966,0.19985,0.13076,1.049,92.297,1.985,1.975,1.114,1.076,1.285,1.321,0.979,0.996,0.979,0.951,0.95,83.93108,0.00025
367,724.371153,0.20416,0.13042,1.042,90.711,1.973,1.956,1.111,1.073,1.274,1.299,0.979,0.996,0.979,0.952,0.952,83.2535,0.00025
368,734.315554,0.20943,0.13682,1.088,104.517,2.042,2.085,1.123,1.103,1.327,1.416,0.977,0.995,0.978,0.948,0.942,83.15686,0.00025
369,722.909107,0.21549,0.13014,1.055,90.925,1.974,1.949,1.114,1.078,1.269,1.3,0.978,0.996,0.979,0.952,0.951,83.42394,0.00025
370,735.720626,0.21784,0.13027,1.045,91.049,1.984,1.957,1.112,1.073,1.282,1.31,0.979,0.996,0.979,0.952,0.951,85.54056,0.00025
371,735.460592,0.22203,0.13073,1.049,92.151,1.974,1.976,1.115,1.076,1.275,1.324,0.979,0.996,0.979,0.952,0.95,85.54271,0.00025
372,730.535931,0.2286,0.13295,1.061,96.363,2.004,1.988,1.119,1.098,1.291,1.33,0.978,0.996,0.979,0.951,0.949,84.64499,0.00025
373,727.524323,0.22772,0.13032,1.05,92.214,1.979,1.966,1.116,1.073,1.275,1.305,0.979,0.996,0.979,0.952,0.951,84.70763,0.00025
374,737.779445,0.23174,0.13204,1.076,95.08,1.989,1.965,1.115,1.081,1.28,1.304,0.978,0.996,0.979,0.951,0.951,83.4737,0.00025
375,725.26834,0.23303,0.13399,1.071,100.713,2.006,2.029,1.118,1.084,1.304,1.361,0.978,0.996,0.979,0.95,0.947,82.0406,0.00025
376,724.800463,0.23796,0.13142,1.074,94.998,1.99,1.96,1.118,1.085,1.285,1.307,0.978,0.996,0.979,0.951,0.951,83.27564,0.00025
377,732.335847,0.23835,0.13274,1.058,98.324,2.0,1.985,1.114,1.081,1.284,1.332,0.978,0.996,0.979,0.951,0.949,83.9944,0.00025
378,736.513512,0.24285,0.13286,1.062,97.803,1.99,1.984,1.12,1.086,1.285,1.324,0.978,0.996,0.979,0.951,0.95,83.45736,0.00025
379,740.559978,0.244,0.13,1.06,91.49,1.965,1.94,1.114,1.085,1.263,1.294,0.978,0.996,0.979,0.953,0.952,84.65962,0.00025
380,737.417848,0.24191,0.1309,1.05,93.888,1.967,1.946,1.108,1.079,1.263,1.288,0.979,0.996,0.979,0.953,0.952,83.19626,0.00025
381,745.743351,0.24438,0.13107,1.069,92.104,1.974,1.965,1.121,1.084,1.278,1.32,0.978,0.996,0.979,0.952,0.95,86.93734,0.00025
382,753.604825,0.25131,0.13192,1.061,95.587,1.976,1.954,1.115,1.086,1.268,1.295,0.978,0.996,0.979,0.952,0.952,86.07247,0.00025
383,756.669055,0.24505,0.1298,1.051,92.403,1.964,1.93,1.109,1.08,1.258,1.282,0.979,0.996,0.979,0.953,0.953,85.42844,0.00025
384,749.660065,0.24566,0.13193,1.06,95.708,2.007,1.956,1.117,1.089,1.288,1.304,0.978,0.996,0.979,0.951,0.951,86.40774,0.00025
385,748.053639,0.24647,0.13094,1.063,92.721,1.976,1.955,1.117,1.095,1.265,1.314,0.978,0.996,0.979,0.953,0.951,86.95575,0.00025
386,744.619881,0.24941,0.13169,1.071,96.175,1.977,1.971,1.114,1.09,1.27,1.324,0.978,0.996,0.979,0.952,0.95,85.42437,0.00025
387,734.304878,0.24386,0.13145,1.065,95.886,1.973,1.958,1.115,1.094,1.273,1.313,0.978,0.996,0.979,0.952,0.951,84.57438,0.00025
388,733.841379,0.24524,0.12988,1.057,92.24,1.949,1.927,1.111,1.09,1.257,1.287,0.978,0.996,0.979,0.953,0.953,82.79477,0.00025
389,727.698049,0.24617,0.13305,1.071,99.889,1.993,1.973,1.116,1.1,1.288,1.319,0.978,0.996,0.978,0.952,0.951,83.41263,0.00025
390,727.356306,0.24492,0.13434,1.086,101.768,1.997,2.027,1.124,1.103,1.297,1.379,0.977,0.995,0.978,0.95,0.946,84.38884,0.00025
391,725.68057,0.24253,0.13048,1.062,94.723,1.95,1.926,1.113,1.096,1.255,1.283,0.978,0.996,0.979,0.954,0.953,82.86778,0.00025
392,721.535218,0.2406,0.13194,1.068,98.066,1.974,1.954,1.116,1.1,1.266,1.298,0.978,0.996,0.978,0.953,0.952,83.8073,0.00025
393,719.539689,0.24077,0.1324,1.062,99.486,1.955,1.945,1.112,1.101,1.263,1.304,0.978,0.996,0.978,0.953,0.951,81.52919,0.00025
394,785.875713,0.23748,0.12943,1.062,90.784,1.933,1.914,1.111,1.101,1.246,1.276,0.978,0.996,0.978,0.954,0.953,82.09736,0.00025
395,718.989159,0.23299,0.12967,1.063,92.169,1.934,1.916,1.113,1.103,1.245,1.278,0.978,0.996,0.978,0.954,0.953,82.77502,0.00025
396,741.743103,0.23246,0.13318,1.093,101.384,1.979,1.969,1.119,1.122,1.295,1.338,0.977,0.995,0.978,0.951,0.95,85.136,0.00025
397,730.633341,0.23213,0.13123,1.066,94.8,1.942,1.93,1.115,1.108,1.252,1.291,0.978,0.996,0.978,0.954,0.952,84.16698,0.00025
